# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.0440   Lower   CK ^ -> Q v    temp_sensor_r_reg[1]
0.0138   0.0168   0.0530   Lower   RN v -> Q v    temp_sensor_r_reg[2]
0.0030   0.0600   0.0561   Lower   CK ^ -> Q v    temp_sensor_r_reg[2]
0.0138   0.0168   0.0575   Lower   RN v -> Q v    temp_sensor_r_reg[3]
0.0030   0.0600   0.0604   Lower   CK ^ -> Q v    temp_sensor_r_reg[3]
0.0030   0.0600   0.0546   Lower   CK ^ -> Q v    temp_sensor_r_reg[4]
0.0030   0.0600   0.0651   Lower   CK ^ -> Q v    temp_sensor_r_reg[5]
0.0030   0.0600   0.0431   Lower   CK ^ -> Q v    pin_input_r_reg[0]
0.0030   0.0600   0.0583   Lower   CK ^ -> Q v    temp_sensor_r_reg[7]
0.0030   0.0600   0.0545   Lower   CK ^ -> Q v    temp_setpoint_r_reg[7]
0.0030   0.0600   0.0552   Lower   CK ^ -> Q v    temp_setpoint_r_reg[0]
0.0030   0.0600   0.0686   Lower   CK ^ -> Q v    temp_setpoint_r_reg[2]
0.0030   0.0600   0.0698   Lower   CK ^ -> Q v    temp_setpoint_r_reg[3]
0.0030   0.0600   0.0748   Lower   CK ^ -> Q v    temp_setpoint_r_reg[4]
0.0030   0.0600   0.0610   Lower   CK ^ -> Q v    temp_setpoint_r_reg[6]
0.0030   0.0600   0.0426   Lower   CK ^ -> Q v    window_sensor_r_reg
0.0030   0.0600   0.0643   Lower   CK ^ -> Q v    window_auto_mode_r_reg
0.0030   0.0600   0.0440   Lower   CK ^ -> Q v    alarm_arm_r_reg
0.0030   0.0600   0.0432   Lower   CK ^ -> Q v    door_sensor_r_reg
0.0030   0.0600   0.0549   Lower   CK ^ -> Q v    entry_sensor_r_reg
0.0030   0.0600   0.0556   Lower   CK ^ -> Q v    exit_sensor_r_reg
0.0030   0.0600   0.0502   Lower   CK ^ -> Q v    humidity_sensor_r_reg[3]
0.0030   0.0600   0.0455   Lower   CK ^ -> Q v    pin_input_r_reg[2]
0.0030   0.0600   0.0412   Lower   CK ^ -> Q v    pin_input_r_reg[1]
0.0030   0.0600   0.0568   Lower   CK ^ -> Q v    heater_on_r_reg
0.0030   0.0600   0.3548   Lower   CK ^ -> QN v    heater_on_r_reg
0.0030   0.0600   0.0578   Lower   CK ^ -> Q v    volume_cmd_r_reg[0]
0.0060   0.0168   0.0560   Lower   RN v -> Q v    volume_cmd_r_reg[1]
0.0030   0.0600   0.0590   Lower   CK ^ -> Q v    volume_cmd_r_reg[1]
0.0030   0.0600   0.0470   Lower   CK ^ -> Q v    door_unlock_cmd_r_reg
0.0030   0.0600   0.0462   Lower   CK ^ -> Q v    window_manual_close_r_reg
0.0040   0.0168   0.0589   Lower   RN v -> Q v    volume_cmd_r_reg[2]
0.0030   0.0600   0.0617   Lower   CK ^ -> Q v    volume_cmd_r_reg[2]
0.0030   0.0600   0.0478   Lower   CK ^ -> Q v    door_lock_cmd_r_reg
0.0030   0.0600   0.0407   Lower   CK ^ -> Q v    humidity_sensor_r_reg[6]
0.0030   0.0600   0.0441   Lower   CK ^ -> Q v    light_cmd_r_reg
0.0030   0.0600   0.0426   Lower   CK ^ -> Q v    humidity_sensor_r_reg[0]
0.0052   0.0168   0.0574   Lower   RN v -> Q v    volume_cmd_r_reg[3]
0.0030   0.0600   0.0603   Lower   CK ^ -> Q v    volume_cmd_r_reg[3]
0.0030   0.0600   0.0740   Lower   CK ^ -> Q v    temp_setpoint_r_reg[1]
0.0030   0.0600   0.0710   Lower   CK ^ -> Q v    temp_setpoint_r_reg[5]
0.0030   0.0600   0.0438   Lower   CK ^ -> Q v    water_level_r_reg[0]
0.0030   0.0600   0.0601   Lower   CK ^ -> Q v    temp_sensor_r_reg[6]
0.0030   0.0600   0.0446   Lower   CK ^ -> Q v    fan_cmd_r_reg
0.0030   0.0600   0.0640   Lower   CK ^ -> Q v    humidity_sensor_r_reg[1]
0.0030   0.0600   0.0423   Lower   CK ^ -> Q v    humidity_sensor_r_reg[2]
0.0030   0.0600   0.0412   Lower   CK ^ -> Q v    humidity_sensor_r_reg[4]
0.0030   0.0600   0.0480   Lower   CK ^ -> Q v    humidity_sensor_r_reg[5]
0.0030   0.0600   0.0533   Lower   CK ^ -> Q v    humidity_sensor_r_reg[7]
0.0030   0.0600   0.0493   Lower   CK ^ -> Q v    music_on_cmd_r_reg
0.0030   0.0600   0.0501   Lower   CK ^ -> Q v    tv_on_cmd_r_reg
0.0030   0.0600   0.0471   Lower   CK ^ -> Q v    water_level_r_reg[3]
0.0030   0.0600   0.0422   Lower   CK ^ -> Q v    water_level_r_reg[1]
