# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7364   0.6120   0.1057   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[1]
0.7364   0.6120   0.1000   Upper   RN v -> Q v    u_visitor/count_reg[1]
0.7364   0.6120   0.1245   Upper   RN v -> Q v    u_visitor/count_reg[2]
0.7364   0.6120   0.1042   Upper   RN v -> Q v    u_visitor/count_reg[0]
0.0124   0.0168   0.0468   Lower   RN v -> Q v    tv_on_cmd_r_reg
0.0124   0.0168   0.0459   Lower   RN v -> Q v    music_on_cmd_r_reg
0.0150   0.0168   0.0449   Lower   RN v -> Q v    humidity_sensor_r_reg[5]
0.0150   0.0168   0.0369   Lower   RN v -> Q v    humidity_sensor_r_reg[4]
0.0055   0.0168   0.0577   Lower   RN v -> Q v    volume_cmd_r_reg[3]
0.0152   0.0168   0.0361   Lower   RN v -> Q v    humidity_sensor_r_reg[6]
0.0050   0.0168   0.0595   Lower   RN v -> Q v    volume_cmd_r_reg[2]
0.0124   0.0168   0.0434   Lower   RN v -> Q v    window_manual_close_r_reg
0.0052   0.0168   0.0564   Lower   RN v -> Q v    volume_cmd_r_reg[1]
0.0124   0.0168   0.0548   Lower   RN v -> Q v    volume_cmd_r_reg[0]
0.0137   0.0168   0.0418   Lower   RN v -> Q v    door_sensor_r_reg
0.0091   0.0168   0.0399   Lower   RN v -> Q v    alarm_arm_r_reg
0.0091   0.0168   0.0634   Lower   RN v -> Q v    window_auto_mode_r_reg
0.0123   0.0168   0.0390   Lower   RN v -> Q v    window_sensor_r_reg
0.0124   0.0168   0.0625   Lower   RN v -> Q v    temp_sensor_r_reg[5]
0.0124   0.0168   0.0511   Lower   RN v -> Q v    temp_sensor_r_reg[4]
0.0053   0.0168   0.0581   Lower   RN v -> Q v    temp_sensor_r_reg[3]
