# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7251   0.6120   0.0977   Upper   RN v -> Q v    u_appliances/fan_on_reg
0.7251   0.6120   0.1110   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[4]
0.7251   0.6120   0.1322   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[6]
0.7251   0.6120   0.1281   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[7]
0.7251   0.6120   0.1216   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[0]
0.7251   0.6120   0.1089   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[2]
0.7251   0.6120   0.1140   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[5]
0.7251   0.6120   0.1107   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[3]
0.7251   0.6120   0.1043   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[1]
0.7251   0.6120   0.0973   Upper   RN v -> Q v    u_visitor/count_reg[1]
0.7251   0.6120   0.1207   Upper   RN v -> Q v    u_visitor/count_reg[2]
0.7251   0.6120   0.1001   Upper   RN v -> Q v    u_visitor/count_reg[0]
0.0122   0.0168   0.0462   Lower   RN v -> Q v    tv_on_cmd_r_reg
0.0122   0.0168   0.0453   Lower   RN v -> Q v    music_on_cmd_r_reg
0.0148   0.0168   0.0443   Lower   RN v -> Q v    humidity_sensor_r_reg[5]
0.0148   0.0168   0.0364   Lower   RN v -> Q v    humidity_sensor_r_reg[4]
0.0054   0.0168   0.0566   Lower   RN v -> Q v    volume_cmd_r_reg[3]
0.0150   0.0168   0.0355   Lower   RN v -> Q v    humidity_sensor_r_reg[6]
0.0050   0.0168   0.0584   Lower   RN v -> Q v    volume_cmd_r_reg[2]
0.0122   0.0168   0.0429   Lower   RN v -> Q v    window_manual_close_r_reg
0.0052   0.0168   0.0554   Lower   RN v -> Q v    volume_cmd_r_reg[1]
0.0122   0.0168   0.0539   Lower   RN v -> Q v    volume_cmd_r_reg[0]
0.0135   0.0168   0.0413   Lower   RN v -> Q v    door_sensor_r_reg
0.0090   0.0168   0.0394   Lower   RN v -> Q v    alarm_arm_r_reg
0.0090   0.0168   0.0621   Lower   RN v -> Q v    window_auto_mode_r_reg
0.0122   0.0168   0.0385   Lower   RN v -> Q v    window_sensor_r_reg
0.0122   0.0168   0.0613   Lower   RN v -> Q v    temp_sensor_r_reg[5]
0.0122   0.0168   0.0504   Lower   RN v -> Q v    temp_sensor_r_reg[4]
0.0052   0.0168   0.0570   Lower   RN v -> Q v    temp_sensor_r_reg[3]
0.0052   0.0168   0.0596   Lower   RN v -> Q v    temp_sensor_r_reg[2]
0.0052   0.0168   0.0401   Lower   RN v -> Q v    temp_sensor_r_reg[1]
0.0052   0.0168   0.0447   Lower   RN v -> Q v    temp_sensor_r_reg[0]
0.0121   0.0168   0.0378   Lower   RN v -> Q v    motion_sensor_r_reg
0.0101   0.0168   0.0437   Lower   RN v -> Q v    window_manual_open_r_reg
0.0122   0.0168   0.1430   Lower   RN v -> Q v    u_window/window_state_reg[1]
0.0122   0.0168   0.1177   Lower   RN v -> Q v    u_burglar/delay_counter_reg[2]
0.0150   0.0168   0.0802   Lower   RN v -> Q v    u_burglar/delay_counter_reg[8]
0.0122   0.0168   0.1331   Lower   RN v -> Q v    u_burglar/delay_counter_reg[4]
0.0122   0.0168   0.1237   Lower   RN v -> Q v    u_burglar/delay_counter_reg[3]
0.0150   0.0168   0.0504   Lower   RN v -> Q v    humidity_sensor_r_reg[7]
0.0161   0.0168   0.0379   Lower   RN v -> Q v    humidity_sensor_r_reg[2]
0.0162   0.0168   0.0458   Lower   RN v -> Q v    humidity_sensor_r_reg[3]
0.0168   0.0168   0.1283   Lower   RN v -> Q v    u_door_lock/attempt_counter_reg[0]
0.0168   0.0168   0.1036   Lower   RN v -> Q v    u_burglar/delay_counter_reg[0]
0.0166   0.0168   0.1155   Lower   RN v -> Q v    u_burglar/delay_counter_reg[1]
0.0167   0.0168   0.1107   Lower   RN v -> Q v    u_burglar/alarm_out_reg
0.0168   0.0168   0.1088   Lower   RN v -> Q v    u_burglar/delay_counter_reg[7]
